Gene Symbol,Gene,Parameter,Level1,DF,Estimate,StdErr,LowerWaldCL,UpperWaldCL,ChiSq,ProbChiSq,fdr_p,log2(FC),stderr of FC,-log10(P),FC
Mitd1,ENSMUSG00000026088,Sex,male,1,-0.4486,0.4196,-1.2710,0.3738,1.14,2.9e-1,0.7195360848,-0.647187638,0.605345182,0.1429474213,0.6385238271
Supt3,ENSMUSG00000038954,Sex,male,1,-0.2190,0.2048,-0.6204,0.1824,1.14,2.8e-1,0.7195360848,-0.315905934,0.2954624781,0.1429474213,0.8033463743
Mprip,ENSMUSG00000005417,Sex,male,1,0.1855,0.1735,-0.1546,0.5256,1.14,2.9e-1,0.7197274955,0.2675936031,0.250355816,0.1428319058,1.2037982321
Abcd2,ENSMUSG00000055782,Sex,male,1,0.3178,0.2974,-0.2651,0.9007,1.14,2.9e-1,0.7200643017,0.4584500319,0.4290767692,0.1426287194,1.3740647901
Dnajb11,ENSMUSG00000004460,Sex,male,1,0.1406,0.1316,-0.1174,0.3987,1.14,2.9e-1,0.7200987613,0.2028929234,0.1899298726,0.1426079361,1.1510040608
Smchd1,ENSMUSG00000024054,Sex,male,1,0.3872,0.3625,-0.3232,1.0976,1.14,2.9e-1,0.7200987613,0.5586158318,0.522937785,0.1426079361,1.4728554341
Stat5a,ENSMUSG00000004043,Sex,male,1,-0.3583,0.3355,-1.0159,0.2993,1.14,2.9e-1,0.7204096948,-0.516888585,0.4840448238,0.1424204514,0.6988774561
Srms,ENSMUSG00000027579,Sex,male,1,-0.6617,0.6199,-1.8768,0.5533,1.14,2.9e-1,0.7204103622,-0.954694608,0.8943596046,0.142420049,0.5159507954
Ecm1,ENSMUSG00000028108,Sex,male,1,0.2902,0.2719,-0.2427,0.8232,1.14,2.9e-1,0.7204103622,0.4187143191,0.3922929077,0.142420049,1.3367357702
Astn2,ENSMUSG00000028373,Sex,male,1,0.6976,0.6535,-0.5833,1.9784,1.14,2.9e-1,0.7204103622,1.0063565008,0.9428240876,0.142420049,2.0088314226
Fip1l1,ENSMUSG00000029227,Sex,male,1,0.1645,0.1541,-0.1375,0.4665,1.14,2.9e-1,0.7204103622,0.2372964956,0.2223037611,0.142420049,1.1787816404
Trf,ENSMUSG00000032554,Sex,male,1,-0.2738,0.2565,-0.7766,0.2289,1.14,2.9e-1,0.7204103622,-0.395078437,0.3700942631,0.142420049,0.760448031
Zc3h12b,ENSMUSG00000035045,Sex,male,1,-1.3945,1.3067,-3.9556,1.1665,1.14,2.9e-1,0.7204254286,-2.011900782,1.8851475302,0.1424109664,0.247946234
Syngap1,ENSMUSG00000067629,Sex,male,1,0.9049,0.8481,-0.7574,2.5672,1.14,2.9e-1,0.7206450398,1.3054888873,1.2235769136,0.1422785983,2.471674711
Rbp2,ENSMUSG00000032454,Sex,male,1,-1.4099,1.3216,-4.0003,1.1804,1.14,2.9e-1,0.7206776428,-2.034126738,1.9067270613,0.1422589506,0.2441556826
Crnkl1,ENSMUSG00000001767,Sex,male,1,0.1959,0.1837,-0.1642,0.5559,1.14,2.9e-1,0.7211316498,0.2825893584,0.2650144388,0.1419854432,1.2163760861
Ccdc86,ENSMUSG00000024732,Sex,male,1,-0.3200,0.3002,-0.9085,0.2684,1.14,2.9e-1,0.7214140102,-0.461701446,0.4331285339,0.1418154277,0.7261293911
Itga5,ENSMUSG00000000555,Sex,male,1,0.3114,0.2923,-0.2615,0.8842,1.13,2.9e-1,0.7218358427,0.4492116797,0.4216556123,0.1415615569,1.3652940262
Rarres2,ENSMUSG00000009281,Sex,male,1,0.9643,0.9051,-0.8096,2.7383,1.14,2.9e-1,0.7218358427,1.3912518292,1.3057822148,0.1415615569,2.6230618562
Rsph3b,ENSMUSG00000023806,Sex,male,1,-0.1689,0.1586,-0.4796,0.1419,1.13,2.9e-1,0.7218358427,-0.243641128,0.2287500604,0.1415615569,0.844610959
Ccdc125,ENSMUSG00000048924,Sex,male,1,0.2336,0.2193,-0.1962,0.6634,1.13,2.9e-1,0.7218358427,0.3370175332,0.3163645263,0.1415615569,1.2631426129
Gemin4,ENSMUSG00000049396,Sex,male,1,0.7358,0.6908,-0.6182,2.0899,1.13,2.9e-1,0.7218358427,1.0615883426,0.9966840352,0.1415615569,2.0872282019
Cep162,ENSMUSG00000056919,Sex,male,1,-0.6442,0.6050,-1.8300,0.5415,1.13,2.9e-1,0.7219491516,-0.929455695,0.8728119991,0.1414933896,0.5250563994
Gm13641,ENSMUSG00000082190,Sex,male,1,-0.4482,0.4211,-1.2735,0.3770,1.13,2.9e-1,0.7222590997,-0.646681262,0.6074830073,0.1413069778,0.6387479839
Tnnc2,ENSMUSG00000017300,Sex,male,1,2.1740,2.0425,-1.8293,6.1773,1.13,2.9e-1,0.7223452277,3.1363910648,2.9467667373,0.1412551921,8.793216955
Mrps18c,ENSMUSG00000016833,Sex,male,1,-0.2284,0.2146,-0.6490,0.1923,1.13,2.9e-1,0.7225406669,-0.329456106,0.3096164144,0.1411377044,0.7958364563
Sh3d19,ENSMUSG00000028082,Sex,male,1,0.4369,0.4107,-0.3681,1.2418,1.13,2.9e-1,0.7227873712,0.6302895578,0.5925101295,0.1409894442,1.5478756305
Pramef8,ENSMUSG00000046862,Sex,male,1,-0.4334,0.4076,-1.2323,0.3654,1.13,2.9e-1,0.7228223383,-0.625300975,0.5880034958,0.1409684344,0.6482845182
Zbtb5,ENSMUSG00000049657,Sex,male,1,-0.3140,0.2952,-0.8926,0.2646,1.13,2.9e-1,0.7228223383,-0.452961141,0.4258943657,0.1409684344,0.730541866
Smarcd2,ENSMUSG00000078619,Sex,male,1,0.1938,0.1822,-0.1633,0.5509,1.13,2.9e-1,0.7228223383,0.2795472866,0.2628641849,0.1409684344,1.2138139334
Cwc15,ENSMUSG00000004096,Sex,male,1,-0.1069,0.1006,-0.3041,0.0902,1.13,2.9e-1,0.7228749096,-0.154279641,0.145127881,0.140936849,0.8985809357
Klrk1,ENSMUSG00000030149,Sex,male,1,0.4259,0.4006,-0.3594,1.2111,1.13,2.9e-1,0.7228749096,0.6144164141,0.5780107761,0.140936849,1.5309385905
Tmprss7,ENSMUSG00000033177,Sex,male,1,-1.0710,1.0073,-3.0453,0.9033,1.13,2.9e-1,0.7228749096,-1.54510146,1.4532605228,0.140936849,0.3426716015
Tmc8,ENSMUSG00000050106,Sex,male,1,-0.4335,0.4078,-1.2328,0.3657,1.13,2.9e-1,0.7228749096,-0.625458485,0.5883170298,0.140936849,0.6482137437
Trac,ENSMUSG00000076928,Sex,male,1,0.1792,0.1686,-0.1513,0.5096,1.13,2.9e-1,0.7231502265,0.2584755344,0.2432384325,0.1407714734,1.1962140223
Emc8,ENSMUSG00000031819,Sex,male,1,-0.3495,0.3291,-0.9945,0.2954,1.13,2.9e-1,0.7235249967,-0.50427617,0.4747407727,0.1405464601,0.7050140089
Reln,ENSMUSG00000042453,Sex,male,1,0.4271,0.4021,-0.3610,1.2152,1.13,2.9e-1,0.7235406089,0.6161285206,0.5801040564,0.140537089,1.5327564977
